Faculty,Block,Floor,Room/Facilities,Label,Color Code,Coordinate
Computer Science and Information Technology,B,F0,IOS Lab,71,"(36, 49, 155)","[(192,14),(192,15),(192,16),(192,17),(192,18),(192,19),(192,20),(192,21),(192,22)]"
Computer Science and Information Technology,B,F0,Toilet_Female,74,"(98, 170, 247)","[(152,43),(152,44),(152,45),(152,46),(152,47),(152,48)]"
Computer Science and Information Technology,B,F0,Toilet_Male,75,"(46, 20, 100)","[(152,29),(152,30),(152,31),(152,32),(152,33),(152,34)]"
Computer Science and Information Technology,B,F0,Toilet_OKU,76,"(90, 204, 173)","[(152,58),(152,59),(152,60),(152,61),(152,62),(152,63)]"
Computer Science and Information Technology,B,F0,Worker Office,77,"(113, 68, 187)","[(152,71),(152,72),(152,73),(152,74)]"
Computer Science and Information Technology,B,F0,Foyer,78,"(197, 237, 29)","[(188,155),(194,94),(152,92),(152,93),(152,94),(152,95),(152,96),(152,97),(152,98),(152,99),(152,100),(152,101),(152,102),(152,103),(152,104),(152,105),(152,106),(152,107),(152,108),(152,109),(152,110),(152,111),(152,112),(152,113),(152,114),(152,115),(152,116),(152,117),(152,118),(152,119),(152,120),(152,121),(152,122),(152,123),(152,124),(152,125),(152,126),(152,127),(152,128),(152,129),(152,130),(152,131),(152,132),(152,133),(152,134),(152,135),(152,136),(152,137),(152,138),(152,139),(152,140),(152,141),(152,142),(152,143),(152,144),(152,145),(152,146),(152,147),(152,148),(152,149),(152,150),(152,151),(152,152),(152,153),(152,154)]"
Computer Science and Information Technology,B,F0,Micro Lab 5,79,"(0, 118, 175)","[(249,78),(250,78),(251,78),(252,78),(253,78)]"
Computer Science and Information Technology,B,F0,Water Filter,82,"(207, 212, 25)","[(278,89),(277,89),(276,89),(275,90),(275,91),(275,92),(275,93)]"
Computer Science and Information Technology,B,F0,Water Filter,83,"(159, 157, 40)","[(269,162),(269,163),(269,164),(269,165),(269,166),(269,167),(269,168)]"
Computer Science and Information Technology,A,F0,Main Entrance,87,"(217, 190, 251)","[(145,256),(146,256),(147,256),(148,256),(149,256),(150,256),(151,256),(152,256),(153,256),(154,256),(155,256),(156,256),(157,256),(158,256),(159,256),(160,256),(161,256),(162,256),(163,256),(164,256),(165,256),(166,256),(167,256),(168,256),(169,256),(170,256),(171,256),(172,256),(173,256),(174,256),(175,256),(176,256),(177,256),(178,256)]"
Computer Science and Information Technology,B,F0,Main Entrance,88,"(217, 190, 251)","[(218,180),(246,180),(220,180),(219,180),(221,180),(222,180),(223,180),(224,180),(225,180),(226,180),(227,180),(228,180),(229,180),(230,180),(231,180),(232,180),(233,180),(234,180),(235,180),(236,180),(237,180),(238,180),(239,180),(240,180),(241,180),(242,180),(243,180),(244,180),(245,180)]"
Computer Science and Information Technology,B,F0,Front Entrance,89,"(217, 190, 251)","[(140,284),(141,284),(142,284),(143,284)]"
Computer Science and Information Technology,B,F0,Back Entrance,90,"(217, 190, 251)","[(145,6),(146,6),(147,6),(148,6),(149,6),(150,6),(151,6)]"
